Nama Barbershop,Rating,Jumlah Ulasan,Kategori,Alamat,Status Operasional,
SHUFFAH BARBERSHOP,4.8,84,Tempat Cukur Rambut,Jl. Pahlawan,Buka Rab 10.00,https://www.google.com/maps/search/[SHUFFAH BARBERSHOP]+Kupang
Shunan Barbershop,5,1,Tempat Cukur Rambut,N/A,Buka Rab 09.00,https://www.google.com/maps/search/[Shunan Barbershop]+Kupang
S.N. BARBERSHOP,4,1,Salon Rambut,Jl. TPU Liliba,Buka Rab 09.00,https://www.google.com/maps/search/[S.N. BARBERSHOP]+Kupang
Squad Barbershop,4.9,14,Tempat Cukur Rambut,Jl. Samratulangi,Buka Rab 10.15,https://www.google.com/maps/search/Squad Barbershop]+Kupang
STARSBOX BARBERSHOP KUPANG,4.7,39,Tempat Cukur Rambut,Jl Monginsidi III Blok A,Buka Rab 10.00,https://www.google.com/maps/search/STARSBOX BARBERSHOP KUPANG]+Kupang
TABAS BARBERSHOP,5,1,Tempat Cukur Rambut,RJPX+PP9,N/A,https://www.google.com/maps/search/[TABAS BARBERSHOP]+Kupang
TEXAN BARBERSHOP,N/A,0,Toko Peralatan Pangkas Rambut,Jl. Perintis Kemerdekaan I No.1,N/A,https://www.google.com/maps/search/[TEXAN BARBERSHOP]+Kupang
The Barberock's,4.3,230,Tempat Cukur Rambut,Jl. Cak Doko No.37,Buka Rab 10.00,https://www.google.com/maps/search/[The Barberock's]+Kupang
The Lexcut,5,354,Tempat Cukur Rambut,Jl. Tompello No.16,Buka Rab 09.00,https://www.google.com/maps/search/[The Lexcut]+Kupang
The Lucky Barbershop,5,3,Salon Rambut,Jl. Bund. PU Jl. TDM II,Tutup 22.00,https://www.google.com/maps/search/[The Lucky Barbershop]+Kupang
Timoer Barbershop,5,5,Salon Rambut,Jl. Amabi,Buka Rab 09.00,https://www.google.com/maps/search/[Timoer Barbershop]+Kupang
Titox Barbershop,4.4,46,Salon Rambut,Jl. Pendidikan II No.3,Buka Rab 09.00,https://www.google.com/maps/search/[Titox Barbershop]+Kupang
TOâ€™O BARBERSHOP,5,3,Tempat Cukur Rambut,Jl. Taebenu,Buka Rab 09.00,https://www.google.com/maps/search/[TOâ€™O BARBERSHOP]+Kupang
Triple-D Barbershop,3.6,5,Tempat Cukur Rambut,Jl. Samratulangi,N/A,https://www.google.com/maps/search/Triple-D Barbershop]+Kupang
Unfamous Barbershop,4.7,3,Tempat Cukur Rambut,Jl. Bunda Hati Kudus,Buka Rab 09.00,https://www.google.com/maps/search/[Unfamous Barbershop]+Kupang
WAR BARBERSHOP,5,7,Tempat Cukur Rambut,Rss Oesapa Blok J No 7,Tutup 22.00,https://www.google.com/maps/search/WAR BARBERSHOP]+Kupang
YTP Barbershop,N/A,0,Tempat Cukur Rambut,Lili camplong,N/A,https://www.google.com/maps/search/[YTP Barbershop]+Kupang
