Nama Barbershop,Rating,Jumlah Ulasan,Kategori,Alamat,Status Operasional
Manoah Barbershop Cab. Kelapa Lima,N/A,0,Tempat Cukur Rambut,Jl. Perintis Kemerdekaan,Buka Rab 09.00
Max Salon,4.5,78,Salon Rambut,Jl. W.J. Lalamentik,N/A
ML Barbershop,5.0,14,Tempat Cukur Rambut,Jl. Samratulangi No.3,Buka Rab 09.00
MMS BARBERSHOP,3.0,2,Toko Peralatan Pangkas Rambut,Jl. K. H. Ahmad Dahlan No.19,Buka Rab 08.00
Mr. Seven's Barbershop,N/A,0,Salon Rambut,Jl. Palapa No.25,Tutup 22.00
Namas hair salon,4.9,881,Salon Rambut,Jl. Frans Seda No.16,Buka Rab 10.00
nio x barbershop,5.0,9,Tempat Cukur Rambut,Jl. Noelmina No.2kel,Tutup Rab 08.00
Obed Barbershop,5.0,1,Tempat Cukur Rambut,Jl. Bhakti Karang No.88x,Buka Rab 09.30
Panda Barbershop,N/A,0,Tempat Cukur Rambut,Jl. W. Monginsidi III No.6,Tutup 22.00
Pangkas Rambut & Toko Perabot (Display),4.9,22,Tempat Cukur Rambut,Jl. H.R. Koroh RT.027/RW.011,Tutup 22.00
Pangkas Rambut FM,4.8,34,Tempat Cukur Rambut,Jl. W.J. Lalamentik No.47,N/A
Pangkas Rambut Victory,4.1,31,Tempat Cukur Rambut,Jl. Jend. Soeharto,Buka Rab 09.00
Papa2G Barbershop,5.0,1,Salon Rambut,Jl. Terusan Timor Raya No.10,Tutup 21.30
Peak Barbershop and Beauty Salon,4.7,11,Salon Kecantikan,Jl. Perintis Kemerdekaan I,Buka Rab 09.00
PJR Barbershop,5.0,1,Tempat Cukur Rambut,RJR8+W76,N/A
REGIANO NALLE BARBERSHOP,5.0,3,Tempat Cukur Rambut,Jl. Kamboja,Buka Rab 10.00
Redix BarberShop,4.8,18,Tempat Cukur Rambut,Jl. Yos Sudarso,Tutup 22.15
Rock&roll barbershop,N/A,0,Tempat Cukur Rambut,Jl. Samratulangi,Buka 21.00
Ropesjo Barbershop,5.0,2,Kantor Perusahaan,Jl. Swakarya II,Buka Rab 08.30
SHUFFAH BARBERSHOP,4.8,84,Tempat Cukur Rambut,Jl. Pahlawan,Buka Rab 10.00
Shunan Barbershop,5.0,1,Tempat Cukur Rambut,N/A,Buka Rab 09.00
S.N. BARBERSHOP,4.0,1,Salon Rambut,Jl. TPU Liliba,Buka Rab 09.00
Squad Barbershop,4.9,14,Tempat Cukur Rambut,Jl. Samratulangi,Buka Rab 10.15
STARSBOX BARBERSHOP KUPANG,4.7,39,Tempat Cukur Rambut,Jl Monginsidi III Blok A,Buka Rab 10.00
TABAS BARBERSHOP,5.0,1,Tempat Cukur Rambut,RJPX+PP9,N/A
TEXAN BARBERSHOP,N/A,0,Toko Peralatan Pangkas Rambut,Jl. Perintis Kemerdekaan I No.1,N/A
The Barberock's,4.3,230,Tempat Cukur Rambut,Jl. Cak Doko No.37,Buka Rab 10.00
The Lexcut,5.0,354,Tempat Cukur Rambut,Jl. Tompello No.16,Buka Rab 09.00
The Lucky Barbershop,5.0,3,Salon Rambut,Jl. Bund. PU Jl. TDM II,Tutup 22.00
Timoer Barbershop,5.0,5,Salon Rambut,Jl. Amabi,Buka Rab 09.00
Titox Barbershop,4.4,46,Salon Rambut,Jl. Pendidikan II No.3,Buka Rab 09.00
TO’O BARBERSHOP,5.0,3,Tempat Cukur Rambut,Jl. Taebenu,Buka Rab 09.00
Triple-D Barbershop,3.6,5,Tempat Cukur Rambut,Jl. Samratulangi,N/A
Unfamous Barbershop,4.7,3,Tempat Cukur Rambut,Jl. Bunda Hati Kudus,Buka Rab 09.00
WAR BARBERSHOP,5.0,7,Tempat Cukur Rambut,Rss Oesapa Blok J No 7,Tutup 22.00
YTP Barbershop,N/A,0,Tempat Cukur Rambut,Lili camplong,N/A
